beta,alpha,lik,ExactAge,AgeGroup,StudyID
1.00000000013978e-6,0,124.76649250079,8.942465753424658,Children,37
1.00000000102796e-6,1.11022302462516e-16,124.76649250079,9.035616438356165,Children,38
9.999999992516e-7,0,124.76649250079,9.465753424657532,Children,39
30,0.0034160511428702,119.858181672266,9.657534246575343,Children,40
1.00000000102796e-6,0,124.76649250079,8.67123287671233,Children,41
30,0.00122195826115681,123.127510207803,10.095890410958903,Children,42
1.87330882516051,0.419700907542746,101.370829685328,9.915068493150685,Children,43
30,0.00869489292981483,87.2299650578664,16.2986301369863,Adolescents,44
30,0.00140732190110985,122.745296937497,14.158904109589042,Adolescents,45
30,9.2159684631859e-4,123.945448368726,11.665753424657536,Children,46
8.72774608480088,4.7621861864405e-4,124.745832771764,15.326027397260274,Adolescents,47
7.79726490787694,0.200392074680449,84.0810339205625,9.865753424657534,Children,48
0.474645561169608,0.0927496447677143,124.22543473894,9.865753424657534,Children,49
2.62194508999955,0.0372626107342493,120.503701426928,15.227397260273971,Adolescents,50
9.99999997475243e-7,0,124.76649250079,8.04109589041096,Children,51
30,0.00646193847912342,99.8441817285925,15.03013698630137,Adolescents,52
14.327963156109,0.194760395956034,27.2152651037671,22.775342465753425,Adults,53
1.7403052509807,0.780508994588501,102.860519496402,21.567123287671233,Adults,54
1.90276826032332,0.416601980620186,103.227922520457,21.39452054794521,Adults,55
1.00467005617754,1,115.35953556009,21.35890410958904,Adults,56
1.00000000102796e-6,0,124.76649250079,21.578082191780823,Adults,57
24.7863291222218,0.0679601041128896,25.5632241594525,21.13972602739726,Adults,58
0.304777536213704,0.36854140963762,124.260562129512,21.16164383561644,Adults,59
30,0.0193225292353468,68.1773853672448,21.432876712328767,Adults,60
1.3666057733788,0.0735668077494146,121.198528126916,21.15068493150685,Adults,61
13.4604368197343,0.056099072577545,52.0050102378926,21.356164383561644,Adults,62
30,0.00391271548096954,114.005648150757,22.2986301369863,Adults,63
1.00000000102796e-6,0,124.76649250079,9.476712328767125,Children,64
9.999999992516e-7,0,124.76649250079,12.843835616438357,Children,65
2.9461887896465,0.190139303318772,91.4121391707299,12.263013698630138,Children,66
30,4.3180132997562e-4,124.611514391307,15.846575342465751,Adolescents,67
1.77236595553083,0.56382991890267,109.8675159302,15.027397260273972,Adolescents,68
0.420294743240408,0.232054288011713,123.783700655727,9.213698630136989,Children,69
14.4110561210792,0.123087274161328,39.4459071845644,14.994520547945204,Adolescents,70
10.801688852675,0.106583334365293,57.3350886711367,22.76164383561644,Adults,71
30,0.0196612652339375,65.6958856487967,22.45205479452055,Adults,72
0.200185816576107,1,124.241875090641,12.26027397260274,Children,73
4.01492752373655,0.128654703700605,98.1447384409972,10.41917808219178,Children,74
0.43288655247573,1,122.242807853614,11.58904109589041,Children,75
19.8432759371151,0.0249045175492265,75.5844660366103,22.589041095890412,Adults,76
10.7992304639263,0.203486066364228,38.369308908514,22.802739726027397,Adults,77
2.52522401137573,0.282399416288823,101.527876981314,15.73972602739726,Adolescents,78
1.00000000013978e-6,0,124.76649250079,13.87945205479452,Adolescents,79
0.886417675734058,1,115.103954964665,22.027397260273972,Adults,80
30,0.0140051902240465,60.0590691796494,22.775342465753425,Adults,81
0.480732773966286,1,122.266061968451,15.413698630136986,Adolescents,82
2.12663333604703,0.862021711341418,88.3554402711846,16.794520547945204,Adolescents,83
30,0.00137732306705404,123.609220838105,15.123287671232877,Adolescents,84
0.188877631197521,0.463505662958931,124.52817447278,17.068493150684933,Adolescents,85
