trial_labels,CONcon_HR_1,conCON_FZ_2,CONincon_HR_3,conINCON_HZ_4,INCONcon_FR_5,inconCON_FZ_6,INCONincon_FR_7,inconINCON_HZ_8,RPE,ExactAge,AgeGroup,StudyID
14,0.500460798423159,0.499078827824055,0.501381121649732,0.499539201576841,0.500921172175945,0.499078827824055,0.500921172175945,0.499539201576841,0.499539201576841,11.665753424657536,Children,46
15,0.500460798423159,0.499078827824055,0.501840647235535,0.499539201576841,0.500921172175945,0.499078827824055,0.500921172175945,0.499539201576841,0.498618878350268,11.665753424657536,Children,46
16,0.499999575329626,0.499078827824055,0.501840647235535,0.499539201576841,0.500921172175945,0.499078827824055,0.500921172175945,0.499539201576841,-0.500460798423159,11.665753424657536,Children,46
17,0.499999575329626,0.499078827824055,0.501840647235535,0.499539201576841,0.500921172175945,0.499078827824055,0.500459524803413,0.499539201576841,-0.500921172175945,11.665753424657536,Children,46
18,0.499999575329626,0.499078827824055,0.501840647235535,0.499539201576841,0.500459524803413,0.499078827824055,0.500459524803413,0.499539201576841,-0.500921172175945,11.665753424657536,Children,46
19,0.499999575329626,0.499078827824055,0.502299749324006,0.499539201576841,0.500459524803413,0.499078827824055,0.500459524803413,0.499539201576841,0.498159352764465,11.665753424657536,Children,46
20,0.500460374144161,0.499078827824055,0.502299749324006,0.499539201576841,0.500459524803413,0.499078827824055,0.500459524803413,0.499539201576841,0.500000424670374,11.665753424657536,Children,46
21,0.500460374144161,0.499078827824055,0.502299749324006,0.500000424670374,0.500459524803413,0.499078827824055,0.500459524803413,0.499539201576841,0.500460798423159,11.665753424657536,Children,46
22,0.500460374144161,0.499078827824055,0.502299749324006,0.500000424670374,0.500459524803413,0.499540475196587,0.500459524803413,0.499539201576841,0.500921172175945,11.665753424657536,Children,46
23,0.500460374144161,0.499078827824055,0.502299749324006,0.499539625855839,0.500459524803413,0.499540475196587,0.500459524803413,0.499539201576841,-0.500000424670374,11.665753424657536,Children,46
24,0.500460374144161,0.499078827824055,0.502299749324006,0.499539625855839,0.500459524803413,0.499540475196587,0.500459524803413,0.499078827824055,-0.499539201576841,11.665753424657536,Children,46
25,0.500460374144161,0.499078827824055,0.502299749324006,0.499539625855839,0.500459524803413,0.499080100270037,0.500459524803413,0.499078827824055,-0.499540475196587,11.665753424657536,Children,46
26,0.499999151441642,0.499078827824055,0.502299749324006,0.499539625855839,0.500459524803413,0.499080100270037,0.500459524803413,0.499078827824055,-0.500460374144161,11.665753424657536,Children,46
27,0.499999151441642,0.499078827824055,0.502299749324006,0.499539625855839,0.499998302883645,0.499080100270037,0.500459524803413,0.499078827824055,-0.500459524803413,11.665753424657536,Children,46
28,0.499999151441642,0.499078827824055,0.502299749324006,0.499539625855839,0.499998302883645,0.498620149623568,0.500459524803413,0.499078827824055,-0.499080100270037,11.665753424657536,Children,46
29,0.499999151441642,0.499078827824055,0.502299749324006,0.499539625855839,0.499998302883645,0.498620149623568,0.500919899729963,0.499078827824055,0.499540475196587,11.665753424657536,Children,46
30,0.499999151441642,0.498618878350268,0.502299749324006,0.499539625855839,0.499998302883645,0.498620149623568,0.500919899729963,0.499078827824055,-0.499078827824055,11.665753424657536,Children,46
31,0.499999151441642,0.498618878350268,0.502299749324006,0.500000848558358,0.499998302883645,0.498620149623568,0.500919899729963,0.499078827824055,0.500460374144161,11.665753424657536,Children,46
32,0.499999151441642,0.498618878350268,0.502299749324006,0.500000848558358,0.499998302883645,0.498620149623568,0.500919899729963,0.498618878350268,-0.499078827824055,11.665753424657536,Children,46
33,0.499999151441642,0.498618878350268,0.502758428305441,0.500000848558358,0.499998302883645,0.498620149623568,0.500919899729963,0.498618878350268,0.497700250675994,11.665753424657536,Children,46
34,0.499999151441642,0.498618878350268,0.502758428305441,0.500000848558358,0.499998302883645,0.498620149623568,0.500919899729963,0.498159352764465,-0.498618878350268,11.665753424657536,Children,46
35,0.499999151441642,0.498618878350268,0.502758428305441,0.500000848558358,0.500459102870861,0.498620149623568,0.500919899729963,0.498159352764465,0.500001697116355,11.665753424657536,Children,46
36,0.499999151441642,0.498618878350268,0.502758428305441,0.49954004935317,0.500459102870861,0.498620149623568,0.500919899729963,0.498159352764465,-0.500000848558358,11.665753424657536,Children,46
