betaCC,betaCI,betaIC,betaII,alpha,lik,ExactAge,AgeGroup,StudyID
4.03271008330286,30,16.35234366183,0.30693517781707,0.0500796848566604,79.424924045884,15.03013698630137,Adolescents,52
9.54922650677816,17.1295093552272,14.9383035109372,30,0.199486038734038,25.4528984849587,22.775342465753425,Adults,53
0.813767738099426,3.55697096214956,2.1163898929481,1.8391294785486,0.769811113730633,98.8629051888603,21.567123287671233,Adults,54
8.48380249112364,30,2.02701340960408,1e-6,0.0538688298703088,86.480906799996,21.39452054794521,Adults,55
1.03975131122562,0.872893142971089,1.43823797858113,0.660412026029122,1,114.780104180583,21.35890410958904,Adults,56
0.468519908307824,0.618265862471404,1.0257667027499,1e-6,1,119.901721830131,21.578082191780823,Adults,57
19.4085017109185,17.9854639775659,30,30,0.075355943503079,23.9552818485494,21.13972602739726,Adults,58
0.386340310997678,0.354865332395135,2.84055630936209,1e-6,0.262666369059394,121.601727546283,21.16164383561644,Adults,59
26.0985433001684,30,16.4078363148477,15.4884212507027,0.0306258860745433,66.1744969439677,21.432876712328767,Adults,60
1.56179737943639,0.405115241569466,2.74092830587168,1e-6,0.146951233044778,116.812945630051,21.15068493150685,Adults,61
4.78595777175387,30,18.4172825335553,19.6054840174403,0.0820747696627575,37.6417678162571,21.356164383561644,Adults,62
30,7.05983644368437,3.46687641619212,1e-6,0.0402541956983586,95.7678952407257,22.2986301369863,Adults,63
12.6459094235313,11.6300147361613,10.5469091863497,1.71077273948482,0,124.76649250079,9.476712328767125,Children,64
30,1e-6,19.596725479216,4.71516930560226,0.00436058713089951,119.842118715837,12.843835616438357,Children,65
2.17622625103975,3.80150234710057,3.20381861439021,2.96879622708767,0.193340873227039,90.6638959078133,12.263013698630138,Children,66
1e-6,4.15377088756903,30,1e-6,0.00544377696890925,122.442808018288,15.846575342465751,Adolescents,67
2.58286506285214,0.970898158261319,1.74856722523638,1.01011628202244,0.730229337581651,108.142945678777,15.027397260273972,Adolescents,68
1e-6,0.582237951909995,1.04940265831835,1e-6,0.689606402319638,121.791064964659,9.213698630136989,Children,69
30,20.3320164141852,8.39651548445271,11.0821248765687,0.145398521599863,34.9949704356562,14.994520547945204,Adolescents,70
11.104212101726,10.24557343346,6.70558038153106,26.7779955283287,0.129727321283953,54.1402496295491,22.76164383561644,Adults,71
11.5754172454847,8.49259839782578,6.56491933495972,30,0.0655355482627297,58.9535909333824,22.45205479452055,Adults,72
