StudyID,beta_in,alpha_in,lik_in,beta_out,alpha_out,lik_out
64,1.00000000458067e-6,0.416601980620186,-124.76648912256,9.999999992516e-7,-5.55111512312578e-17,124.76649250079
65,0.200185816576107,0.0116565157186445,-124.651603011756,30,0.00159054399004152,123.463809454145
66,1.00000000102796e-6,0.127367937338266,-124.76649054673,1.34813128713001,0.0184017238758433,124.392930780115
67,1.7403052509807,0.190139303318772,-112.268178702548,1.40961995431581,0.36466863085054,111.648418258265
68,30,0.190139303318772,-8.31381415450645,30,0.335619784151999,6.9837608711906
69,29.6871758267083,1.11022302462516e-16,-124.76649250079,1.00000000458067e-6,0,124.76649250079
70,0.304777536213704,0,-124.76649250079,1.00000000102796e-6,0,124.76649250079
71,9.99999997475243e-7,0.574898784705764,-124.766494356792,1.00000000102796e-6,0,124.76649250079
72,0.200185816576107,0,-124.76649250079,9.99999999917733e-7,0,124.76649250079
73,2.12663333604703,0.453804539836252,-97.2686683384244,2.26996894726269,0.542508114320329,96.7425117786127
74,9.99999997475243e-7,2.2368008458496e-4,-124.766492485053,30,0.0017610782447727,122.942401178943
75,9.999999992516e-7,0.163757104234672,-124.766493388583,24.1305693252469,9.40059320298122e-5,124.763101155576
76,1.04604897307786,0.0652041013295407,-118.792400380637,1.98272236948551,0.0718713594853659,116.855385426003
77,30,0.0735668077494146,-20.8743264651058,19.4100780849111,0.215351187700252,17.4652547887029
78,5.18645204832314,0,-124.76649250079,1.00000000102796e-6,0,124.76649250079
79,1.00000000102796e-6,0.0196612652339375,-124.766491750787,1.00000000013978e-6,0,124.76649250079
80,1.00000000102796e-6,0.00391271548096954,-124.76649269632,1.00000000013978e-6,0,124.76649250079
81,9.54007166705942,0,-124.76649250079,9.999999992516e-7,5.55111512312578e-17,124.76649250079
82,1.00000000102796e-6,0,-124.76649250079,1.00000000102796e-6,0,124.76649250079
83,9.54007166705942,1,-37.5645944976227,21.0293227179091,0.984404731816081,37.0659456533114
84,0.721514077837862,1,-116.751300651537,0.871533638643958,1,116.523930617988
85,21.202851492434,0.0375776689204846,-66.809913250522,30,0.0235617392212952,65.9888292077418
86,30,0.0375776689204846,-25.6121539012683,30,0.0387303686050776,25.6025361538619
87,0.43288655247573,0,-124.76649250079,30,4.3163330364852e-4,124.598710142221
88,0.605746389577709,1,-121.975478477137,1.00000000102796e-6,0,124.76649250079
89,9.99999999973245e-7,0,-124.76649250079,0.394409981565249,0.0292431438392996,124.674500742478
90,0.975781492361607,0,-124.76649250079,30,0.00100681545558964,124.213096131268
91,14.4110561210792,0.00199567691984881,-122.862629057568,9.999999992516e-7,0,124.76649250079
92,25.5348816922512,0,-124.76649250079,6.06018152905422,0,124.76649250079
93,2.84967779295972,0,-124.76649250079,1.00000000102796e-6,0,124.76649250079
94,30,0.0652041013295407,-27.2321573946885,30,0.045550128242882,26.0735846960374
95,0.43288655247573,0,-124.76649250079,1.00000000102796e-6,0,124.76649250079
96,0.605746389577709,0.416601980620186,-119.699472986081,9.99999997475243e-7,0,124.76649250079
97,0.721514077837862,0.0914614734947159,-122.00799453566,1.36380218161805,0.0564798354237697,121.717351674213
98,9.54007166705942,0.0679601041128896,-71.8366746707147,6.08573611782008,0.113259578327995,70.9902056310948
99,2.34381686078035,0,-124.76649250079,1.00000000013978e-6,0,124.76649250079
100,9.999999992516e-7,0.00869489292981483,-124.766492719647,1.00000000102796e-6,0,124.76649250079
101,9.999999992516e-7,0.0714176091900846,-124.766491731983,0.160540033898094,0.145432393519454,124.665278772843
102,24.7863291222218,0.0154840085857214,-72.1867003111714,8.04678305204328,0.0555281181161393,71.0800986629333
103,0.188877631197521,2.2368008458496e-4,-124.766157248097,12.4945544297441,3.0233506575245e-4,124.751371525271
104,30,0.0285056277611412,-30.4665607253448,30,0.0344580511481702,30.0149840627749
105,21.202851492434,0,-124.76649250079,0.368093341968025,0.558457453498017,123.504480301109
106,14.327963156109,0,-124.76649250079,1.00000000102796e-6,0,124.76649250079
107,0.548394300467026,0,-124.76649250079,0.0519069688093459,0.578853315335426,124.742174456835
108,9.999999992516e-7,0,-124.76649250079,30,0.00137714012408887,123.475881331807
109,30,0.00333358025374982,-120.50775168855,30,0.00227319100053477,119.513759572247
110,1.45672870096605,0.453804539836252,-119.477401689702,0.989613267663603,0.396243402281325,117.685879331533
111,1.00000000102796e-6,0.176801499798207,-124.766492158658,24.9004041514904,2.86905393126431e-5,124.76595792396
112,19.8432759371151,0,-124.76649250079,9.99999997475243e-7,0,124.76649250079
113,8.65319594729944,0.119659753658702,-51.528653218271,12.7631438631512,0.0760514492715881,50.2408894035933
114,30,0.176801499798207,-12.7088551340598,26.2732599795899,0.134736468646173,12.0670182140542
115,1.00000000102796e-6,0.419700907542746,-124.766499168135,1.00000000102796e-6,0,124.76649250079
116,1.00000000102796e-6,0.780508994588501,-124.766493481668,0.100664534279229,0.0210225840242002,124.763091290232
117,30,1.11022302462516e-16,-124.76649250079,1.00000000102796e-6,-2.77555756156289e-17,124.76649250079
118,30,0.0476321606107127,-26.6456660586076,25.1475353960712,0.0793077298102388,25.8333865626003
119,30,0.0193225292353468,-48.968809337065,12.7564998091968,0.0668382491356908,48.1078232958644
120,30,0.00956223963547716,-93.0227130536803,14.0831779281605,0.0166443983974776,91.0805151179331
121,30,0.0735668077494146,-16.4895110006072,30,0.100141676563558,15.8116462587033
