StudyID,beta_in,alpha_cc_in,alpha_ci_in,alpha_ic_in,alpha_ii_in,lik_in,beta_out,alpha_cc_out,alpha_ci_out,alpha_ic_out,alpha_ii_out,lik_out
18,1.01807843761122,0.0158615142758541,0.19697184677967,1,0,-119.344986040101,0.935315182464816,0.442650641493032,0.30660530299676,1,0,118.77997525071
19,2.75403360805612,0.161679656237421,1,0.00104543513278235,0.0707537258846573,-103.408550397686,3.94821823051433,0.172567737431335,0.408849971407911,8.7327720269362e-4,0.0329667009320037,99.3399703110056
20,0.643085678249721,0.559329973105842,0.19697184677967,0.0184817783099017,1,-125.018134844889,0.828194508596471,0.774698236978496,0.11714047687364,0.97555477838393,0,121.183729115942
21,2.81679266377744,0.549505754482753,0,0.12493222239593,0.0823923349238203,-101.587739266784,4.76141479466339,0.595429409619214,0,0.0811831267735859,0.05285084768852,99.2659076602381
22,3.11045175463033,0.810202553335708,1,0,0.677271296863021,-86.7642380840409,7.44715963712881,0.0745066854143507,0.543540512510156,0,0.0158124226305878,84.7191469829941
23,30,0.0271506907269615,0.2731633823984,0.0184817783099017,0.0139916862111712,-33.7304330162584,30,0.0328185554201919,0.475070953307553,0.0206943126186461,0.0141706190386885,33.3142806213437
24,30,0.626176958902416,1,0.0107647393627347,0.0783835060402968,-49.0198048348259,30,0.71097009967631,0.990520862401443,0.00822456642463045,0.105667463331161,48.2103531613297
25,0.693116899162013,0,0.00952738992463723,1,0,-120.173856436737,1.77096883587024,0.0147581320953312,0,0.74233785864406,0,118.435476446982
26,2.99448363327692,0.0695819335459521,0.0778580495380048,0.125685550885004,0.00415443530294646,-111.228467907175,1.84321337359031,1,0.0979928236595984,0.242636539506074,0,110.627197874688
27,30,0.00795163671267301,0.691745316307537,1,0.0707537258846573,-53.499096944516,30,0.00566482292404102,0.814943259532678,0.982271562093514,0.0400482719369194,50.7619342310384
28,1.00000000102796e-6,0,0.104915680859734,1,-1.11022302462516e-16,-124.766493974107,30,7.2687865469482e-4,0,0.00383634336550584,0,122.836811163277
29,12.341140821365,0.0044228688299693,0.0895199343417989,0,0,-101.772843409513,7.22845052740041,0.012094728954841,0.305392350524985,0,0,101.388933247051
