StudyID,beta_cc_in,beta_ci_in,beta_ic_in,beta_ii_in,alpha_in,lik_in,beta_cc_out,beta_ci_out,beta_ic_out,beta_ii_out,alpha_out,lik_out
63,1e-6,0.397247489230644,4.24085241462972,30,0.689606402319638,-78.0014331020007,1e-6,1e-6,5.57684517514711,12.549288575519,0.541951125772388,76.8361990527985
64,5.00429481577325,12.795735339636,8.39651548445271,0.718634538702661,0.122599152393532,-87.2599132057112,4.2826503687144,16.5248681778848,9.02563264049592,1e-6,0.108323126178069,86.2746116547018
65,1e-6,1e-6,0.442654275499686,10.7670951995406,0.0655355482627297,-102.103897592189,1e-6,1e-6,1.21754712473697,30,0.0226263574251565,101.498455933317
66,4.86636961182287,1e-6,6.56568561125144,1e-6,0.0274659592317496,-121.853637731095,2.40160767789785,0.617850322594858,0.871776110118883,1e-6,0.196604322208093,118.430173722204
67,5.85716366407231,1e-6,30,22.7420778629157,0.199486038734038,-52.9488033422814,5.20249579726547,0.246069831884477,30,11.0250029585311,0.195069516040503,51.2053744611599
68,30,1e-6,3.42038927841872,1.71077273948482,0.352689853954683,-89.7731676948566,30,0.0671779093280585,1.77834326864583,1.29538831443748,0.354426308957189,87.0869224945967
69,1e-6,11.5352131761157,0.560862804151185,1.65419472494659,0.00544377696890925,-125.622770833408,1.00000000013978e-6,13.4781855829887,9.999999992516e-7,12.5446182339054,-1.11022302462516e-16,124.76649250079
70,30,8.48913446484077,18.4172825335553,13.159909775782,0.00358287982668212,-118.474012899574,2.41030289384428,1e-6,1.62766627795726,0.668536219605305,0.186143971268679,115.378279139449
71,2.17622625103975,15.510074319338,1.29556816120446,1e-6,0.094775387306104,-92.924760410263,1.79957183254995,17.5871470080558,1.43534561606916,1e-6,0.200925198249068,91.3961421518881
72,30,10.9081229138057,2.75623994503749,16.7250988732897,0.504012194258056,-29.0627686050396,30,10.4110505334902,6.59413926707344,30,0.733881881944281,24.6410649010576
