Model,AIC_Value,ExactAge,AgeGroup,StudyID
Cong,80.7298853118373,19.91780821917808,Adults,23
Cond,82.1448534074504,19.91780821917808,Adults,23
CongBeta,81.502924589021,19.91780821917808,Adults,23
CondBeta,82.9073677767517,19.91780821917808,Adults,23
Vanilla,239.778620962711,14.3013698630137,Adolescents,24
EmoQ,234.141073574876,14.3013698630137,Adolescents,24
EmoBias,243.750838669277,14.3013698630137,Adolescents,24
EmoHier,245.594522528174,14.3013698630137,Adolescents,24
EmoAvg,242.254516539688,14.3013698630137,Adolescents,24
Cong,243.735078037204,14.3013698630137,Adolescents,24
Cond,245.706107824302,14.3013698630137,Adolescents,24
CongBeta,243.710151414315,14.3013698630137,Adolescents,24
CondBeta,245.686632177729,14.3013698630137,Adolescents,24
Vanilla,242.438511860286,13.082191780821915,Adolescents,25
EmoQ,240.852550129532,13.082191780821915,Adolescents,25
EmoBias,240.344454579392,13.082191780821915,Adolescents,25
EmoHier,239.724346180894,13.082191780821915,Adolescents,25
EmoAvg,240.24902398827,13.082191780821915,Adolescents,25
Cong,244.16598323842,13.082191780821915,Adolescents,25
Cond,246.090135955341,13.082191780821915,Adolescents,25
CongBeta,244.519287275233,13.082191780821915,Adolescents,25
CondBeta,246.348714418916,13.082191780821915,Adolescents,25
Vanilla,234.36703191552,14.013698630136986,Adolescents,26
EmoQ,235.302382582359,14.013698630136986,Adolescents,26
EmoBias,237.531964245832,14.013698630136986,Adolescents,26
EmoHier,235.56821120073,14.013698630136986,Adolescents,26
EmoAvg,223.779399220596,14.013698630136986,Adolescents,26
Cong,257.532985001581,14.013698630136986,Adolescents,26
Cond,216.123851325173,14.013698630136986,Adolescents,26
CongBeta,215.309386550706,14.013698630136986,Adolescents,26
CondBeta,215.931107378477,14.013698630136986,Adolescents,26
Vanilla,253.532985001581,12.227397260273971,Children,27
EmoQ,253.532997001603,12.227397260273971,Children,27
EmoBias,255.05492087156,12.227397260273971,Children,27
EmoHier,254.973750735633,12.227397260273971,Children,27
EmoAvg,255.525404611945,12.227397260273971,Children,27
Cong,257.532985001581,12.227397260273971,Children,27
Cond,259.532985001581,12.227397260273971,Children,27
CongBeta,253.490366808875,12.227397260273971,Children,27
CondBeta,255.485817729497,12.227397260273971,Children,27
Vanilla,224.329949588171,14.106849315068493,Adolescents,28
EmoQ,232.991733392393,14.106849315068493,Adolescents,28
EmoBias,228.367451315659,14.106849315068493,Adolescents,28
EmoHier,227.904590028849,14.106849315068493,Adolescents,28
EmoAvg,234.764700487655,14.106849315068493,Adolescents,28
Cong,219.090599134546,14.106849315068493,Adolescents,28
Cond,217.042769545339,14.106849315068493,Adolescents,28
CongBeta,219.402020553766,14.106849315068493,Adolescents,28
CondBeta,217.599217591647,14.106849315068493,Adolescents,28
Vanilla,253.532985001581,15.205479452054794,Adolescents,29
EmoQ,253.532987001603,15.205479452054794,Adolescents,29
EmoBias,254.613937678029,15.205479452054794,Adolescents,29
EmoHier,254.828319441769,15.205479452054794,Adolescents,29
EmoAvg,254.871550094867,15.205479452054794,Adolescents,29
Cong,254.251677171854,15.205479452054794,Adolescents,29
Cond,254.649504060786,15.205479452054794,Adolescents,29
CongBeta,254.15544698409,15.205479452054794,Adolescents,29
CondBeta,254.978942728362,15.205479452054794,Adolescents,29
Vanilla,253.532985001581,12.652054794520549,Children,30
EmoQ,253.532995001603,12.652054794520549,Children,30
EmoBias,255.532993001584,12.652054794520549,Children,30
EmoHier,257.532985001581,12.652054794520549,Children,30
EmoAvg,255.532986001584,12.652054794520549,Children,30
Cong,257.532985001581,12.652054794520549,Children,30
Cond,259.532985001581,12.652054794520549,Children,30
CongBeta,257.532985001581,12.652054794520549,Children,30
CondBeta,259.53247279241,12.652054794520549,Children,30
Vanilla,187.033752467213,14.41917808219178,Adolescents,31
EmoQ,205.098705377354,14.41917808219178,Adolescents,31
EmoBias,206.216901329519,14.41917808219178,Adolescents,31
EmoHier,191.68983956438,14.41917808219178,Adolescents,31
