Model,Pseudor_Value,ExactAge,AgeGroup,StudyID
EmoQ,-1.60300375195987e-8,9.476712328767125,Children,64
EmoBias,-3.918875668418311e-9,9.476712328767125,Children,64
EmoHier,0.0269721984071514,9.476712328767125,Children,64
EmoAvg,0.0135054538912711,9.476712328767125,Children,64
Cong,-1.77635683940025e-15,9.476712328767125,Children,64
Cond,0.00165330106585493,9.476712328767125,Children,64
CongBeta,-1.77635683940025e-15,9.476712328767125,Children,64
CondBeta,-1.77635683940025e-15,9.476712328767125,Children,64
Random,-124.76649250079,12.843835616438357,Children,65
Vanilla,-1.77635683940025e-15,12.843835616438357,Children,65
EmoQ,0.0258945933070469,12.843835616438357,Children,65
EmoBias,0.0271423063537489,12.843835616438357,Children,65
EmoHier,0.0487093843246107,12.843835616438357,Children,65
EmoAvg,0.0288557719602122,12.843835616438357,Children,65
Cong,0.0209741376054572,12.843835616438357,Children,65
Cond,0.0257885185297407,12.843835616438357,Children,65
CongBeta,0.0289065923127756,12.843835616438357,Children,65
CondBeta,0.0394687202168603,12.843835616438357,Children,65
Random,-124.76649250079,12.263013698630138,Children,66
Vanilla,0.267334223007424,12.263013698630138,Children,66
EmoQ,0.249610479501188,12.263013698630138,Children,66
EmoBias,0.264527120382396,12.263013698630138,Children,66
EmoHier,0.256841482966143,12.263013698630138,Children,66
EmoAvg,0.253688768534853,12.263013698630138,Children,66
Cong,0.281684962903973,12.263013698630138,Children,66
Cond,0.290816219198529,12.263013698630138,Children,66
CongBeta,0.272761306648434,12.263013698630138,Children,66
CondBeta,0.273331372145136,12.263013698630138,Children,66
Random,-124.76649250079,15.846575342465751,Adolescents,67
Vanilla,0.00124214527776612,15.846575342465751,Adolescents,67
EmoQ,0.0112510048105697,15.846575342465751,Adolescents,67
EmoBias,0.0125587656898433,15.846575342465751,Adolescents,67
EmoHier,0.0183197487503031,15.846575342465751,Adolescents,67
EmoAvg,0.0200502467305844,15.846575342465751,Adolescents,67
Cong,0.00884531728583182,15.846575342465751,Adolescents,67
Cond,-1.77635683940025e-15,15.846575342465751,Adolescents,67
CongBeta,0.0088453174857307,15.846575342465751,Adolescents,67
CondBeta,0.0186242671083117,15.846575342465751,Adolescents,67
Random,-124.76649250079,15.027397260273972,Adolescents,68
Vanilla,0.119414886737281,15.027397260273972,Adolescents,68
EmoQ,0.11482847238849,15.027397260273972,Adolescents,68
EmoBias,0.120346604096562,15.027397260273972,Adolescents,68
EmoHier,0.107136386752652,15.027397260273972,Adolescents,68
EmoAvg,0.128981738742336,15.027397260273972,Adolescents,68
Cong,0.140118527437654,15.027397260273972,Adolescents,68
Cond,0.157092879042258,15.027397260273972,Adolescents,68
CongBeta,0.130578211159205,15.027397260273972,Adolescents,68
CondBeta,0.133237269789466,15.027397260273972,Adolescents,68
Random,-124.76649250079,9.213698630136989,Children,69
Vanilla,0.00787704956166202,9.213698630136989,Children,69
EmoQ,0.00548005389642503,9.213698630136989,Children,69
EmoBias,0.00652893975414326,9.213698630136989,Children,69
EmoHier,0.0560205951600354,9.213698630136989,Children,69
EmoAvg,0.00682480947865038,9.213698630136989,Children,69
Cong,0.0228946893002959,9.213698630136989,Children,69
Cond,0.0318559490022506,9.213698630136989,Children,69
CongBeta,0.0225080798010656,9.213698630136989,Children,69
CondBeta,0.0238479697272289,9.213698630136989,Children,69
Random,-124.76649250079,14.994520547945204,Adolescents,70
Vanilla,0.683842140674792,14.994520547945204,Adolescents,70
EmoQ,0.605867584162702,14.994520547945204,Adolescents,70
EmoBias,0.723631369005227,14.994520547945204,Adolescents,70
EmoHier,0.681259440640268,14.994520547945204,Adolescents,70
EmoAvg,0.577172442394022,14.994520547945204,Adolescents,70
Cong,0.704819848110128,14.994520547945204,Adolescents,70
Cond,0.739516708766266,14.994520547945204,Adolescents,70
CongBeta,0.701446655484032,14.994520547945204,Adolescents,70
CondBeta,0.719516276091238,14.994520547945204,Adolescents,70
Random,-124.76649250079,22.76164383561644,Adults,71
Vanilla,0.5404608439179,22.76164383561644,Adults,71
EmoQ,0.373968599919415,22.76164383561644,Adults,71
EmoBias,0.570902342015541,22.76164383561644,Adults,71
EmoHier,0.547709169218137,22.76164383561644,Adults,71
EmoAvg,0.389691749154471,22.76164383561644,Adults,71
Cong,0.541518395201291,22.76164383561644,Adults,71
Cond,0.564786704473741,22.76164383561644,Adults,71
CongBeta,0.561790630448235,22.76164383561644,Adults,71
CondBeta,0.566067390816439,22.76164383561644,Adults,71
Random,-124.76649250079,22.45205479452055,Adults,72
Vanilla,0.47344928648707,22.45205479452055,Adults,72
EmoQ,0.352764989940324,22.45205479452055,Adults,72
EmoBias,0.391627975793294,22.45205479452055,Adults,72
EmoHier,0.473449286486846,22.45205479452055,Adults,72
EmoAvg,0.320160013081398,22.45205479452055,Adults,72
Cong,0.534478558175827,22.45205479452055,Adults,72
Cond,0.53567359552665,22.45205479452055,Adults,72
CongBeta,0.526181697718739,22.45205479452055,Adults,72
CondBeta,0.527488592876737,22.45205479452055,Adults,72
Random,-124.76649250079,12.26027397260274,Children,73
Vanilla,0.00420479408881469,12.26027397260274,Children,73
EmoQ,-4.80899269295065e-8,12.26027397260274,Children,73
EmoBias,0.00340851570608869,12.26027397260274,Children,73
EmoHier,0.00597389535838166,12.26027397260274,Children,73
EmoAvg,-4.00750033158204e-9,12.26027397260274,Children,73
Cong,-1.77635683940025e-15,12.26027397260274,Children,73
Cond,-1.77635683940025e-15,12.26027397260274,Children,73
CongBeta,0.00779868562135833,12.26027397260274,Children,73
CondBeta,0.00793597376381383,12.26027397260274,Children,73
Random,-124.76649250079,10.41917808219178,Children,74
Vanilla,0.213372625343494,10.41917808219178,Children,74
EmoQ,0.287651688893828,10.41917808219178,Children,74
EmoBias,0.226089015541287,10.41917808219178,Children,74
EmoHier,0.230756396334272,10.41917808219178,Children,74
EmoAvg,0.255990172795555,10.41917808219178,Children,74
Cong,0.213744549874554,10.41917808219178,Children,74
Cond,0.226051087108374,10.41917808219178,Children,74
CongBeta,0.223616402176812,10.41917808219178,Children,74
CondBeta,0.228441953789537,10.41917808219178,Children,74
Random,-124.76649250079,11.58904109589041,Children,75
Vanilla,0.0202272629180488,11.58904109589041,Children,75
EmoQ,0.0223497554712039,11.58904109589041,Children,75
EmoBias,0.0222795455897417,11.58904109589041,Children,75
EmoHier,0.0202272629192385,11.58904109589041,Children,75
EmoAvg,0.0172766525528854,11.58904109589041,Children,75
Cong,0.0335983493913641,11.58904109589041,Children,75
Cond,0.0268622111454075,11.58904109589041,Children,75
CongBeta,0.0336021137730814,11.58904109589041,Children,75
CondBeta,0.0362094652254661,11.58904109589041,Children,75
Random,-124.76649250079,22.589041095890412,Adults,76
Vanilla,0.39419258711523403,22.589041095890412,Adults,76
EmoQ,0.254127656300573,22.589041095890412,Adults,76
EmoBias,0.403116742339917,22.589041095890412,Adults,76
EmoHier,0.411911400587865,22.589041095890412,Adults,76
EmoAvg,0.301997828980447,22.589041095890412,Adults,76
Cong,0.446880182380706,22.589041095890412,Adults,76
Cond,0.473728925471859,22.589041095890412,Adults,76
CongBeta,0.431028391316394,22.589041095890412,Adults,76
CondBeta,0.471351856887028,22.589041095890412,Adults,76
Random,-124.76649250079,22.802739726027397,Adults,77
Vanilla,0.69247104619639,22.802739726027397,Adults,77
EmoQ,0.504010110614592,22.802739726027397,Adults,77
EmoBias,0.684010859590567,22.802739726027397,Adults,77
EmoHier,0.598278519017434,22.802739726027397,Adults,77
EmoAvg,0.492126178247364,22.802739726027397,Adults,77
Cong,0.728449740873951,22.802739726027397,Adults,77
Cond,0.732887622569529,22.802739726027397,Adults,77
CongBeta,0.760476653838892,22.802739726027397,Adults,77
CondBeta,0.767063433097691,22.802739726027397,Adults,77
