Model,BIC_Value,ExactAge,AgeGroup,StudyID
CongBeta,265.890279974508,8.073972602739726,Children,36
CondBeta,271.083236827603,8.073972602739726,Children,36
Vanilla,259.918898703361,8.942465753424658,Children,37
EmoQ,259.91890270339,8.942465753424658,Children,37
EmoBias,265.111856183311,8.942465753424658,Children,37
EmoHier,270.304812405142,8.942465753424658,Children,37
EmoAvg,264.892147062147,8.942465753424658,Children,37
Cong,270.304812405142,8.942465753424658,Children,37
Cond,275.497769256032,8.942465753424658,Children,37
CongBeta,269.382176460602,8.942465753424658,Children,37
CondBeta,274.195071750696,8.942465753424658,Children,37
Vanilla,259.918898703361,9.035616438356165,Children,38
EmoQ,259.918902703384,9.035616438356165,Children,38
EmoBias,263.638633812626,9.035616438356165,Children,38
EmoHier,268.589981652602,9.035616438356165,Children,38
EmoAvg,265.111856042099,9.035616438356165,Children,38
Cong,268.181093184166,9.035616438356165,Children,38
Cond,273.282570121461,9.035616438356165,Children,38
CongBeta,268.110728198733,9.035616438356165,Children,38
CondBeta,274.812799216511,9.035616438356165,Children,38
Vanilla,259.918898703361,9.465753424657532,Children,39
EmoQ,259.206848177423,9.465753424657532,Children,39
EmoBias,263.009386324563,9.465753424657532,Children,39
EmoHier,270.304804405164,9.465753424657532,Children,39
EmoAvg,264.399805028318,9.465753424657532,Children,39
Cong,270.304812405142,9.465753424657532,Children,39
Cond,275.497769256032,9.465753424657532,Children,39
CongBeta,266.32121702154,9.465753424657532,Children,39
CondBeta,271.514173872428,9.465753424657532,Children,39
Vanilla,250.102277046312,9.657534246575343,Children,40
EmoQ,250.672608352594,9.657534246575343,Children,40
EmoBias,249.343111994565,9.657534246575343,Children,40
EmoHier,255.996405102955,9.657534246575343,Children,40
EmoAvg,248.466802551741,9.657534246575343,Children,40
Cong,252.367380221103,9.657534246575343,Children,40
Cond,255.381971136538,9.657534246575343,Children,40
CongBeta,250.070134758122,9.657534246575343,Children,40
CondBeta,254.983345129617,9.657534246575343,Children,40
Vanilla,259.918898703361,8.67123287671233,Children,41
EmoQ,259.918904703384,8.67123287671233,Children,41
EmoBias,264.047764521918,8.67123287671233,Children,41
EmoHier,267.272753966583,8.67123287671233,Children,41
EmoAvg,257.21066637325,8.67123287671233,Children,41
Cong,266.23031597121,8.67123287671233,Children,41
Cond,271.387937468857,8.67123287671233,Children,41
CongBeta,267.135716660235,8.67123287671233,Children,41
CondBeta,272.328673504806,8.67123287671233,Children,41
Vanilla,256.640934117386,10.095890410958903,Children,42
EmoQ,167.815427530459,10.095890410958903,Children,42
EmoBias,144.257355239568,10.095890410958903,Children,42
EmoHier,172.430401104665,10.095890410958903,Children,42
EmoAvg,171.213469168359,10.095890410958903,Children,42
Cong,230.286865889151,10.095890410958903,Children,42
Cond,215.438570900811,10.095890410958903,Children,42
CongBeta,229.814818851459,10.095890410958903,Children,42
CondBeta,214.633914758905,10.095890410958903,Children,42
Vanilla,213.127573072437,9.915068493150685,Children,43
EmoQ,195.89520036175,9.915068493150685,Children,43
EmoBias,199.976330780525,9.915068493150685,Children,43
EmoHier,221.893639046323,9.915068493150685,Children,43
EmoAvg,198.423986734298,9.915068493150685,Children,43
Cong,223.156385442023,9.915068493150685,Children,43
Cond,225.251120006387,9.915068493150685,Children,43
CongBeta,223.39701602775,9.915068493150685,Children,43
CondBeta,225.49794982871,9.915068493150685,Children,43
Vanilla,184.845843817513,16.2986301369863,Adolescents,44
EmoQ,216.728190567336,16.2986301369863,Adolescents,44
EmoBias,206.083607754987,16.2986301369863,Adolescents,44
EmoHier,187.138192461518,16.2986301369863,Adolescents,44
EmoAvg,217.153217218256,16.2986301369863,Adolescents,44
Cong,185.631160363277,16.2986301369863,Adolescents,44
Cond,190.536803941584,16.2986301369863,Adolescents,44
CongBeta,186.166277873442,16.2986301369863,Adolescents,44
CondBeta,191.060754086766,16.2986301369863,Adolescents,44
Vanilla,255.876507576774,14.158904109589042,Adolescents,45
EmoQ,253.193620786091,14.158904109589042,Adolescents,45
EmoBias,257.972455129789,14.158904109589042,Adolescents,45
EmoHier,258.180664997901,14.158904109589042,Adolescents,45
EmoAvg,257.672581432384,14.158904109589042,Adolescents,45
Cong,270.304812405142,14.158904109589042,Adolescents,45
Cond,267.46870283675503,14.158904109589042,Adolescents,45
CongBeta,263.507489741781,14.158904109589042,Adolescents,45
CondBeta,267.724096894424,14.158904109589042,Adolescents,45
Vanilla,258.276810439233,11.665753424657536,Children,46
EmoQ,258.793978889779,11.665753424657536,Children,46
EmoBias,262.780158342389,11.665753424657536,Children,46
EmoHier,264.792087488581,11.665753424657536,Children,46
